correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
1215.4	float	text	iron_man_3	no answers	false
987.5	float	text	the_lion_king	no answers	false
890.9	float	text	spiderman_3	no answers	false
879.0	float	text	harry_potter_and_the_chamber_of_secrets	no answers	false
751.8	float	text	the_hunger_games_mockingjay_part_1	no answers	false
694.7	float	text	mission_impossible_ghost_protocol	no answers	false
672.5	float	text	interstellar	no answers	false
631.7	float	text	kung_fu_panda	no answers	false
609.8	float	text	mamma_mia	no answers	false
550.5	float	text	king_kong	no answers	false
549.4	float	text	ted	no answers	false
528.7	float	text	godzilla_2014	no answers	false
484.4	float	text	shrek	no answers	false
441.3	float	text	the_exorcist	no answers	false
441.3	float	text	mrs_doubtfire	no answers	false
361.3	float	text	alvin_and_the_chipmunks	no answers	false
268.2	float	text	neighbors	no answers	false
255.0	float	text	cliffhanger	no answers	false
250.6	float	text	enemy_of_the_state	no answers	false
237.2	float	text	gone_in_60_seconds	no answers	false
